"agegroup","Totaal.aantal.testen.man","Aantal.positief.man","percentage.positief.man","aantal.testen.week.vrouw","Aantal.positief.week.vrouw","percentage.positief.week.vrouw"
"0-4","67","5307","1.3","53","4246","1.2"
"5-9","209","22065","0.9","204","19002","1.1"
"10-14","841","61950","1.4","791","52336","1.5"
"15-19","2700","78432","3.4","3140","86682","3.6"
"20-24","5164","81568","6.3","5318","109095","4.9"
"25-29","3775","79355","4.8","3845","113312","3.4"
"30-34","2739","83124","3.3","2892","121971","2.4"
"35-39","2095","78152","2.7","2317","109946","2.1"
"40-44","1734","64343","2.7","2102","88322","2.4"
"45-49","1911","54166","3.5","2260","73871","3.1"
"50-54","2175","50507","4.3","2414","67547","3.6"
"55-59","1884","44210","4.3","1798","61038","2.9"
"60-64","1336","39624","3.4","1242","53519","2.3"
"65-69","728","30954","2.4","675","37343","1.8"
"70-74","474","23625","2.0","472","25448","1.9"
"75-79","254","12259","2.1","237","13223","1.8"
"80-84","136","6465","2.1","146","7015","2.1"
"85-89","47","2591","1.8","76","2966","2.6"
"90-94","21","644","3.3","28","987","2.8"
"95+","4","112","3.6","5","192","2.6"
"Niet vermeld","0","0","0.0","0","0","0.0"
"Totaal","28294","819453","3.5","30015","1048061","2.9"
