"agegroup","Totaal.aantal.testen","Aantal.positief","percentage.positief","aantal.testen.week","Aantal.positief.week","percentage.positief.week"
"0-4","105","5768","1.8","98","4629","2.1"
"5-9","397","23586","1.7","399","20404","2.0"
"10-14","2457","80720","3.0","2357","68858","3.4"
"15-19","7528","120286","6.3","8535","131887","6.5"
"20-24","11509","121928","9.4","12346","159075","7.8"
"25-29","9089","117540","7.7","9372","162503","5.8"
"30-34","7092","120475","5.9","7455","171460","4.3"
"35-39","5694","111686","5.1","6362","154817","4.1"
"40-44","5290","93293","5.7","6348","127729","5.0"
"45-49","5909","81148","7.3","6997","110745","6.3"
"50-54","6898","77701","8.9","7501","102808","7.3"
"55-59","6103","67579","9.0","5829","90257","6.5"
"60-64","4593","58824","7.8","4086","76610","5.3"
"65-69","2623","43943","6.0","2491","52128","4.8"
"70-74","1889","32675","5.8","1809","35075","5.2"
"75-79","998","16547","6.0","957","17990","5.3"
"80-84","514","8651","5.9","572","9669","5.9"
"85-89","213","3449","6.2","285","4216","6.8"
"90-94","63","863","7.3","112","1424","7.9"
"95+","66","325","20.3","62","478","13.0"
"Niet vermeld","0","0","0.0","0","0","0.0"
"Totaal","79030","1186987","6.7","83973","1502762","5.6"
