Weeknummer,12-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
6,0,1,1,1,1,1,1,2,2,2,0,0,0,0,0,1
7,0,1,1,1,1,2,2,2,3,2,1,0,0,0,0,1
8,0,2,2,2,2,2,3,3,4,3,1,1,1,2,5,9
9,0,2,2,2,2,2,3,3,4,4,1,1,2,3,8,24
10,0,2,2,2,2,3,3,3,4,4,1,1,2,5,27,43
11,0,2,2,2,2,3,3,4,4,4,1,1,2,15,48,52
12,0,2,2,2,2,3,3,4,4,4,2,1,2,26,60,58
13,0,2,2,2,2,3,3,4,4,4,2,1,3,40,68,64
14,0,2,2,2,2,3,3,4,4,4,2,1,5,60,73,66
15,0,2,2,2,3,3,3,4,5,4,2,1,8,71,76,68
16,0,2,2,3,3,3,3,4,5,5,3,2,16,78,77,69
17,0,2,3,3,3,3,4,4,5,5,3,2,23,80,78,70
18,0,3,3,3,3,4,4,5,6,7,4,8,39,82,79,71
19,0,3,4,4,4,4,5,6,7,10,4,18,53,83,80,71
20,0,3,4,4,5,5,6,7,8,15,7,38,75,84,81,72
21,0,4,5,5,5,6,6,13,9,18,15,62,85,85,81,73
22,0,5,5,5,6,10,7,22,10,21,38,80,87,86,82,73
23,0,5,6,6,7,12,8,26,17,26,63,85,88,87,83,74
24,0,7,8,8,9,15,12,30,33,33,76,87,89,87,84,75
25,0,11,11,11,12,19,17,36,46,44,80,88,89,88,84,76
26,0,17,14,13,14,22,20,42,59,57,83,88,90,88,85,77
27,0,20,16,15,16,25,29,51,68,65,85,88,90,89,85,78
28,0,21,18,17,23,40,51,67,77,71,86,89,90,89,86,78
29,0,22,20,21,35,56,65,73,79,75,86,89,90,89,86,79
30,2,25,26,36,51,63,69,76,80,77,86,89,90,89,86,79
,,,,,,,,,,,,,,,,
,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
Weeknummer,12-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,11390,11021,10458,10220,11861,12818,12506,11178,0,0,0,0,0,0
6,0,15397,11390,11021,10458,10220,11861,25637,25012,22356,0,0,0,0,0,927
7,0,15397,11390,11021,10458,20440,23721,25637,37518,22356,9876,0,0,0,0,927
8,0,30795,22779,22042,20917,20440,35582,38455,50024,33534,9876,9291,6181,8238,11131,8340
9,0,30795,22779,22042,20917,20440,35582,38455,50024,44712,9876,9291,12361,12357,17809,22240
10,0,30795,22779,22042,20917,30660,35582,38455,50024,44712,9876,9291,12361,20595,60106,39846
11,0,30795,22779,22042,20917,30660,35582,51273,50024,44712,9876,9291,12361,61784,106855,48186
12,0,30795,22779,22042,20917,30660,35582,51273,50024,44712,19752,9291,12361,107093,133569,53746
13,0,30795,22779,22042,20917,30660,35582,51273,50024,44712,19752,9291,18542,164758,151378,59306
14,0,30795,22779,22042,20917,30660,35582,51273,50024,44712,19752,9291,30903,247137,162509,61160
15,0,30795,22779,22042,31375,30660,35582,51273,62530,44712,19752,9291,49444,292445,169187,63013
16,0,30795,22779,33063,31375,30660,35582,51273,62530,55890,29627,18582,98888,321278,171414,63940
17,0,30795,34169,33063,31375,30660,47443,51273,62530,55890,29627,18582,142152,329516,173640,64866
18,0,46192,34169,33063,31375,40880,47443,64091,75036,78246,39503,74327,241040,337754,175866,65793
19,0,46192,45559,44084,41833,40880,59303,76910,87541,111780,39503,167237,327567,341873,178092,65793
20,0,46192,45559,44084,52291,51100,71164,89728,100047,167670,69130,353055,463538,345992,180318,66720
21,0,61589,56948,55105,52291,61320,71164,166637,112553,201204,148136,576037,525343,350111,180318,67646
22,0,76987,56948,55105,62750,102201,83025,282002,125059,234738,375279,743274,537704,354230,182544,67646
23,0,76987,68338,66126,73208,122641,94885,333275,212601,290627,622172,789728,543885,358349,184770,68573
24,0,107781,91117,88168,94125,153301,142328,384548,412695,368873,750557,808310,550065,358349,186997,69500
25,0,169370,125286,121231,125499,194182,201632,461457,575272,491831,790060,817601,550065,362468,186997,70426
26,0,261754,159455,143273,146416,224842,237214,538367,737849,637145,819687,817601,556246,362468,189223,71353
27,0,307946,182234,165315,167332,255502,343960,653731,850403,726569,839439,817601,556246,366587,189223,72279
28,0,323343,205014,187358,240540,408803,604895,858823,962956,793637,849315,826892,556246,366587,191449,72279
29,0,338741,227793,231442,366040,572324,770944,935733,987968,838349,849315,826892,556246,366587,191449,73206
30,23433,384933,296131,396757,533372,643865,818387,974188,1000474,860704,849315,826892,556246,366587,191449,73206
