date,janssen.given,,,,
2021-04-25,8883,,,,
2021-04-26,14531,,,1,14531
2021-04-27,20179,,,2,20179
2021-04-28,25827,,,3,25827
2021-04-29,31475,,,4,31475
2021-04-30,37123,,,5,37123
2021-05-01,42771,,,6,42771
2021-05-02,48422,39539,5648,7,48419
2021-05-03,45149,,,1,55143
2021-05-04,51616,,,2,61864
2021-05-05,58083,,,3,68585
2021-05-06,64550,,,4,75306
2021-05-07,71017,,,5,82027
2021-05-08,77484,,,6,88748
2021-05-09,95466,47044,6721,7,95469
2021-05-10,99596,,,1,99596
2021-05-11,103726,,,2,103726
2021-05-12,107856,,,3,107856
2021-05-13,111986,,,4,111986
2021-05-14,116116,,,5,116116
2021-05-15,120246,,,6,120246
2021-05-16,124373,28907,4130,7,124376
2021-05-17,126901,,,1,126901
2021-05-18,129429,,,2,129429
2021-05-19,131957,,,3,131957
2021-05-20,134485,,,4,134485
2021-05-21,137013,,,5,137013
2021-05-22,139541,,,6,139541
2021-05-23,142069,17696,2528,7,142069
2021-05-24,149816,,,1,149816
2021-05-25,157563,,,2,157563
2021-05-26,165310,,,3,165310
2021-05-27,173057,,,4,173057
2021-05-28,180804,,,5,180804
2021-05-29,188551,,,6,188551
2021-05-30,234277,92208,13173,7,234280
2021-05-31,260277,,,1,260277
2021-06-01,286277,,,2,286277
2021-06-02,312277,,,3,312277
2021-06-03,338277,,,4,338277
2021-06-04,364277,,,5,364277
2021-06-05,390277,,,6,390277
2021-06-06,416277,182000,26000,7,416277
2021-06-07,421340,,,1,421340
2021-06-08,426403,,,2,426403
2021-06-09,431466,,,3,431466
2021-06-10,436529,,,4,436529
2021-06-11,441592,,,5,441592
2021-06-12,446655,,,6,446655
2021-06-13,451715,35438,5063,7,451718
2021-06-14,515255,,,1,515255
2021-06-15,535741,,,2,535741
2021-06-16,556227,,,3,556227
2021-06-17,576713,,,4,576713
2021-06-18,597199,,,5,597199
2021-06-19,617685,,,6,617685
2021-06-20,595116,143401,20486,7,638171
2021-06-21,,,,1,615602
2021-06-22,,,,2,636088
2021-06-23,,,,3,656574
2021-06-24,,,,4,677060
2021-06-25,,,,5,697546
2021-06-26,,,,6,718032
2021-06-27,738518,143402,20486,7,738518
