date,janssen.given,,,,
2021-04-25,8883,,,,
2021-04-26,14531,,,1,14531
2021-04-27,20179,,,2,20179
2021-04-28,25827,,,3,25827
2021-04-29,31475,,,4,31475
2021-04-30,37123,,,5,37123
2021-05-01,42771,,,6,42771
2021-05-02,48422,39539,5648,7,48419
2021-05-03,45149,,,1,55143
2021-05-04,51616,,,2,61864
2021-05-05,58083,,,3,68585
2021-05-06,64550,,,4,75306
2021-05-07,71017,,,5,82027
2021-05-08,77484,,,6,88748
2021-05-09,95466,47044,6721,7,95469
2021-05-10,99596,,,1,99596
2021-05-11,103726,,,2,103726
2021-05-12,107856,,,3,107856
2021-05-13,111986,,,4,111986
2021-05-14,116116,,,5,116116
2021-05-15,120246,,,6,120246
2021-05-16,124373,28907,4130,7,124376
2021-05-17,126901,,,1,126901
2021-05-18,129429,,,2,129429
2021-05-19,131957,,,3,131957
2021-05-20,134485,,,4,134485
2021-05-21,137013,,,5,137013
2021-05-22,139541,,,6,139541
2021-05-23,142069,17696,2528,7,142069
2021-05-24,149816,,,1,149816
2021-05-25,157563,,,2,157563
2021-05-26,165310,,,3,165310
2021-05-27,173057,,,4,173057
2021-05-28,180804,,,5,180804
2021-05-29,188551,,,6,188551
2021-05-30,238349,96280,13754,7,234280
2021-05-31,260277,,,1,260277
2021-06-01,286277,,,2,286277
2021-06-02,312277,,,3,312277
2021-06-03,338277,,,4,338277
2021-06-04,364277,,,5,364277
2021-06-05,390277,,,6,390277
2021-06-06,384134,145785,20826,7,416277
2021-06-07,403623,,,1,403623
2021-06-08,423112,,,2,423112
2021-06-09,442601,,,3,442601
2021-06-10,462090,,,4,462090
2021-06-11,481579,,,5,481579
2021-06-12,501068,,,6,501068
2021-06-13,431152,47018,6717,7,520557
2021-06-14,436243,,,1,436243
2021-06-15,441334,,,2,441334
2021-06-16,446425,,,3,446425
2021-06-17,451516,,,4,451516
2021-06-18,456607,,,5,456607
2021-06-19,461698,,,6,461698
2021-06-20,466792,35640,5091,7,466789
2021-06-21,477576,,,1,477576
2021-06-22,488360,,,2,488360
2021-06-23,499144,,,3,499144
2021-06-24,509928,,,4,509928
2021-06-25,520712,,,5,520712
2021-06-26,531496,,,6,531496
2021-06-27,542280,75488,10784,7,542280
2021-06-28,561903,,,1,561903
2021-06-29,581526,,,2,581526
2021-06-30,601149,,,3,601149
2021-07-01,620772,,,4,620772
2021-07-02,640395,,,5,640395
2021-07-03,660018,,,6,660018
2021-07-04,679642,137362,19623,7,679641
2021-07-05,692936,,,1,692936
2021-07-06,706230,,,2,706230
2021-07-07,719524,,,3,719524
2021-07-08,732818,,,4,732818
2021-07-09,746112,,,5,746112
2021-07-10,759406,,,6,759406
2021-07-11,772703,93061,13294,7,772700
