date,janssen.given,,,,
2021-04-25,8883,,,,
2021-04-26,14531,,,1,14531
2021-04-27,20179,,,2,20179
2021-04-28,25827,,,3,25827
2021-04-29,31475,,,4,31475
2021-04-30,37123,,,5,37123
2021-05-01,42771,,,6,42771
2021-05-02,48422,39539,5648,7,48419
2021-05-03,45149,,,1,55143
2021-05-04,51616,,,2,61864
2021-05-05,58083,,,3,68585
2021-05-06,64550,,,4,75306
2021-05-07,71017,,,5,82027
2021-05-08,77484,,,6,88748
2021-05-09,95466,47044,6721,7,95469
2021-05-10,99596,99596,,1,99596
2021-05-11,103726,103726,,2,103726
2021-05-12,107856,107856,,3,107856
2021-05-13,111986,111986,,4,111986
2021-05-14,116116,116116,,5,116116
2021-05-15,120246,120246,,6,120246
2021-05-16,124373,28907,4130,7,124376
2021-05-17,189979,,,1,189979
2021-05-18,255585,,,2,255585
2021-05-19,321191,,,3,321191
2021-05-20,386797,,,4,386797
2021-05-21,452403,,,5,452403
2021-05-22,518009,,,6,518009
2021-05-23,169914,45541,6506,7,583615
2021-05-24,176270,,,1,176270
2021-05-25,187496,,,2,187496
2021-05-26,198722,,,3,198722
2021-05-27,209948,,,4,209948
2021-05-28,221174,,,5,221174
2021-05-29,232400,,,6,232400
2021-05-30,248495,78581,11226,7,243626
2021-05-31,273157,,,1,273157
2021-06-01,297819,,,2,297819
2021-06-02,322481,,,3,322481
2021-06-03,347143,,,4,347143
2021-06-04,371805,,,5,371805
2021-06-05,396467,,,6,396467
2021-06-06,421129,172634,24662,7,421129
