"agegroup","Totaal.aantal.testen","Aantal.positief","percentage.positief","aantal.testen.week","Aantal.positief.week","percentage.positief.week"
"0-4","6967","627","9.0","1054","133","12.6"
"5-9","37667","4130","11.0","5342","980","18.3"
"10-14","227745","23113","10.1","32133","4528","14.1"
"15-19","403013","47861","11.9","47638","6261","13.1"
"20-24","384546","50424","13.1","36451","4182","11.5"
"25-29","385964","42314","11.0","36745","3676","10.0"
"30-34","410612","37376","9.1","39761","3587","9.0"
"35-39","382503","33942","8.9","38104","3434","9.0"
"40-44","329530","34656","10.5","35371","3780","10.7"
"45-49","297040","39977","13.5","34052","4515","13.3"
"50-54","284494","43819","15.4","32360","4568","14.1"
"55-59","247377","37534","15.2","28287","3934","13.9"
"60-64","207568","27837","13.4","25405","3138","12.4"
"65-69","143811","18305","12.7","19634","2145","10.9"
"70-74","97513","14061","14.4","14115","1791","12.7"
"75-79","47973","8010","16.7","6770","1037","15.3"
"80-84","26261","4777","18.2","3603","574","15.9"
"85-89","11994","2342","19.5","1726","355","20.6"
"90-94","4097","820","20.0","635","122","19.2"
"95+","951","193","20.3","138","31","22.5"
"Niet vermeld","1580","524","33.2","190","42","22.1"
