"agegroup","Totaal.aantal.testen","Aantal.positief","percentage.positief","aantal.testen.week","Aantal.positief.week","percentage.positief.week"
"0 - 3","6033","820","13.6","805","120","14.9"
"4 - 12","105562","17783","16.8","8153","1256","15.4"
"13 - 17","218689","33517","15.3","7318","1059","14.5"
"18 - 24","420197","52358","12.5","23141","2600","11.2"
"25 - 29","310916","31497","10.1","19150","1715","9.0"
"30 - 39","605803","55648","9.2","38174","3018","7.9"
"40 - 49","505712","60144","11.9","29647","2820","9.5"
"50 - 59","512770","72012","14.0","31868","3815","12.0"
"60 - 69","362769","45903","12.7","21869","2579","11.8"
"70+","238424","35205","14.8","14838","1864","12.6"
"Niet vermeld","1852","369","19.9","123","16","13.0"
