"agegroup","Totaal.aantal.testen","Aantal.positief","percentage.positief","aantal.testen.week","Aantal.positief.week","percentage.positief.week"
"0 - 3","5227","700","13.4","714","101","14.1"
"4 - 12","97404","16527","17.0","5982","1047","17.5"
"13 - 17","211553","32489","15.4","7725","1238","16.0"
"18 - 24","398894","49977","12.5","26178","3041","11.6"
"25 - 29","293279","29908","10.2","20492","1943","9.5"
"30 - 39","569802","52796","9.3","40465","3514","8.7"
"40 - 49","476815","57403","12.0","31411","3286","10.5"
"50 - 59","481403","68269","14.2","35024","4475","12.8"
"60 - 69","341064","43348","12.7","24055","3014","12.5"
"70+","223588","33342","14.9","16278","2142","13.2"
"Niet vermeld","1720","351","20.4","135","25","18.5"
